TeamName,TeamSlug,Seed,FGM,FGA,3PM,3PA,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,TeamScore,OppScore,WinPct
McNeese,mcneese-state,12,27.5,59.6,6.7,20.8,15.5,22.7,9.1,21,13.8,7.6,10.8,3.7,18.1,77.2,64,1
Troy,troy,13,24.3,55.1,7.9,25.7,15.9,21.1,10.4,22.4,15,10.8,5.7,3.5,15.6,72.4,67.1,0.7
Idaho,idaho,15,27.5,60.6,9.3,25.8,14.3,20.4,8.5,26.1,12,9.8,5.5,3.1,16.8,78.6,69.4,0.8
Prairie View A&M,prairie-view,16,25.2,57.6,6.1,17.3,16.6,22.3,9.1,24.5,12.3,9.9,5.8,6.6,16.4,73.1,63.9,0.9
Michigan,michigan,1,27.3,55.4,8.4,22.2,14.3,18.2,8.2,23.8,16.2,10.9,4.5,5.3,14,77.3,70.1,0.8
Iowa State,iowa-state,2,26.8,60.3,9.2,25.6,12.2,18.5,9.2,20.2,14.3,8.1,8.7,2,17,75,65.8,0.6
Virginia,virginia,3,26.8,58.2,10.1,27.2,14,17.6,9.4,24.3,15.5,10.2,6.1,8.1,14.9,77.7,70.7,0.8
Alabama,alabama,4,29.7,63.6,12.7,33.6,19.8,24.8,9.2,25.1,15.6,9.2,6,3.5,15.8,91.9,84.5,0.8
Texas Tech,texas-tech,5,26.4,56.4,11.8,28.7,10.3,13.9,8.5,23.7,15.1,10.6,4.5,4.7,16.8,74.9,69.7,0.6
Tennessee,tennessee,6,27.7,62.4,4.8,16.9,14,20,15.2,23.3,15.6,8.4,7.1,4.1,16.6,74.2,68.4,0.6
Kentucky,kentucky,7,27.4,61.3,7.8,23.5,16.2,22,10.6,22,15.2,10.9,6.8,3.4,20.4,78.8,79.8,0.4
Georgia,georgia,8,29.4,61.6,11.2,28.3,14.3,19.2,9,20.4,15.2,9.3,7.4,3.8,17,84.3,82.5,0.6
Saint Louis,saint-louis,9,26.8,55.9,9.9,25.6,14.3,18.7,7.1,24.3,16.1,12.8,6.4,4.3,17.6,77.8,72.8,0.6
Santa Clara,santa-clara,10,29.3,64.5,10.8,29.7,11.7,15.5,10.3,20.1,15,7.9,8,2.4,18.1,81.1,76.3,0.7
